id,symbol,created_at,exchanges,category,logoUrl,volatility_index,hurst_4h,hurst_8h,hurst_12h,hurst_1d,efficiency_index,trend_harmony_index,btc_correlation,returns_skewness,avg_wick_ratio,relative_strength_vs_btc,max_drawdown_percent,entropy,kurtosis,autocorrelation,entropy_4h,entropy_8h,entropy_12h,entropy_1d
132,PENGU/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,pengu.png,9.5533,0.9341,1.0131,1.0021,1.1077,0.0453,0.0444,0.0317,1.0162,3.5584,0.897,-37.94,,2.6396,-0.0283,1.8040562,1.9719348,2.3172731,2.6018088
133,DYM/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,dym.png,8.6935,0.6608,0.669,0.6676,0.6907,0.1211,0.0444,0.0476,-0.2988,5.5957,0.427,-49.61,,0.3366,-0.0903,2.3535147,2.1904833,2.4271379,2.8859544
134,YGG/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,ygg.png,9.1195,0.506,0.5097,0.4794,0.4376,0.0053,0.0222,-0.0812,0.5277,3.9378,0.6779,-41.07,,1.9431,0.1256,1.3739865,1.7273593,2.1433551,2.5214972
135,SUI/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,sui.png,5.5823,0.5893,0.6078,0.5895,0.5989,0.0014,0.0889,0.0521,-0.0069,4.6645,0.6886,-28.18,,0.0889,-0.0386,2.1592324,2.2047675,2.4683924,2.9421134
136,PIXEL/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,pixel.png,8.1668,0.5816,0.5936,0.612,0.5831,0.098,0.0889,0.078,-0.2708,3.9074,0.4804,-42.81,,-0.0429,-0.0832,1.9678775,2.3167088,2.4326677,2.961086
137,BAKE/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],4,bake.png,35.8949,0.6409,0.6014,0.513,0.6005,0.1368,0.1667,0.1012,7.7004,inf,0.1905,-81.04,,69.7801,-0.0281,0.7490176,0.45974568,0.23353463,0.8965555
138,AVAX/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,avax.png,7.1483,0.5901,0.5826,0.5923,0.6028,0.0928,0.1556,0.1196,0.0645,3.7245,0.9362,-20.69,,0.8479,-0.0129,2.3755834,2.723019,2.6666193,2.7464473
139,ATOM/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,atom.png,4.8548,0.463,0.4663,0.4505,0.4044,0.0542,0.0444,0.0275,-0.268,6.5285,0.6094,-22.68,,0.3083,-0.0537,2.2451036,2.8510764,2.4384663,2.8606205
140,FLM/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,flm.png,8.5702,0.6722,0.6758,0.658,0.6745,0.0445,0.1222,0.0592,-0.3461,inf,0.5856,-34.15,,-0.2343,-0.1215,1.9557614,2.1740746,2.4816718,2.988763
141,CFX/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,cfx.png,7.4794,0.7002,0.7805,0.7585,0.6631,0.0585,0.0444,0.1484,6.6934,14.1767,0.9984,-39.9,,57.4066,-0.0251,1.1589253,1.5491793,1.4342457,0.95594424
